SNo,Date,Voucher No,Branch,Party,Product,Net Amount,Division
23,02-04-2019,SI-CH 2,PONNUR,BOMBAY COOLERS,STORM AIR COOLER,"18,060.00",CVCRM
24,02-04-2019,SI-CH 2,PONNUR,BOMBAY COOLERS,SAFARI AIR COOLER,"19,460.00",CVCRM
25,02-04-2019,SI-CH 2,PONNUR,BOMBAY COOLERS,TAX FOR COOLERS,"6,412.00",CVCRM
26,02-04-2019,SI-CRMV 1,ANDHRA,SRI DHANALAKSHMI AGENCIES kovvuru,AIRCOOLER,"48,000.00",CVCRM
27,02-04-2019,SI-CRMV 2,ANDHRA,SRI RAJESWARI ENTERPRISES,AIRCOOLER,"6,000.00",CVCRM
28,02-04-2019,SI-CRMV 3,ANDHRA,MEENAKSHI ELECTRONICS,AIRCOOLER,"50,000.00",CVCRM
29,02-04-2019,SI-H 1,TELANGANA,MARUTI ELECTRONICS,TYPHOON AIR COOLER,"77,880.00",CVCRM
30,02-04-2019,SI-H 2,TELANGANA,BOMBAY COOLERS,STORM AIR COOLER,"21,000.00",CVCRM
31,02-04-2019,SI-H 2,TELANGANA,BOMBAY COOLERS,SAFARI AIR COOLER,"21,000.00",CVCRM
32,02-04-2019,SI-H 3,TELANGANA,NAGA SAI HOME APPLIANCE,TYPHOON AIR COOLER,"48,144.00",CVCRM
33,02-04-2019,SI-P 1,ANDHRA,SRI SAI RAM ELECTRONICS,AIRCOOLER,"48,000.00",CVCRM
34,02-04-2019,SI-P 2,ANDHRA,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,AIRCOOLER,"24,000.00",CVCRM
35,02-04-2019,SI-SCH 3,TELANGANA,VAISHNAVI MARKETING,SKY Super Silent 6300,"12,598.00",SKYZEN
36,02-04-2019,SI-SCH 3,TELANGANA,VAISHNAVI MARKETING,SKY Vibrant 18AL /HPL,"6,756.00",SKYZEN
37,02-04-2019,SI-SCH 3,TELANGANA,VAISHNAVI MARKETING,SKY Smile Blower,"14,178.00",SKYZEN
38,02-04-2019,SI-SCH 3,TELANGANA,VAISHNAVI MARKETING,Smile Trolly,"1,275.00",SKYZEN
39,02-04-2019,SI-SCH 4,TELANGANA,ASHA ENTERPRISES,Mini Cute Trolley,795.00,SKYZEN
40,02-04-2019,SI-SCH 4,TELANGANA,ASHA ENTERPRISES,Smile Trolly,"1,350.00",SKYZEN
41,02-04-2019,SI-SCH 5,TELANGANA,LAXMI AUDIOS,SKY Smile Blower,"47,260.00",SKYZEN
42,02-04-2019,SI-SCH 5,TELANGANA,LAXMI AUDIOS,Smile Trolly,"6,375.00",SKYZEN
43,02-04-2019,SI-SCV 3,ANDHRA,NIHARIKA DIGITAL&HOME NEEDS,SKY Hippo Chill 4500,"58,928.00",SKYZEN
44,02-04-2019,SI-SCV 3,ANDHRA,NIHARIKA DIGITAL&HOME NEEDS,SKY Super 5000,"15,136.00",SKYZEN
45,02-04-2019,SI-SCV 3,ANDHRA,NIHARIKA DIGITAL&HOME NEEDS,SKY Thunder Cool 18AL,"16,164.00",SKYZEN
46,02-04-2019,SI-SCV 4,ANDHRA,JAYAENTERPRISES,SKY Smart Cool 18ALR-H-BT+USB LCD,"19,600.00",SKYZEN
47,02-04-2019,SI-SCV 5,ANDHRA,KRISHNA GEETHA ENTERPRISES,SKY Super Cool 16AL,"14,000.00",SKYZEN
48,02-04-2019,SI-SCV 5,ANDHRA,KRISHNA GEETHA ENTERPRISES,SKY Thunder Cool 18AL,"15,000.00",SKYZEN
49,02-04-2019,SI-SCV 5,ANDHRA,KRISHNA GEETHA ENTERPRISES,Smile Trolly,450.00,SKYZEN
50,02-04-2019,SI-SCV 5,ANDHRA,KRISHNA GEETHA ENTERPRISES,KEN COOLER TROLLY,"1,600.00",KENSTAR
51,02-04-2019,SI-SCV 5,ANDHRA,KRISHNA GEETHA ENTERPRISES,FRES SMILE,"10,800.00",SKYZEN
52,02-04-2019,SI-SLV 2,ANDHRA,SONOVISION WATCH AND ELECTRONICS,SKYZEN LED M32SM,"38,070.00",SKYZEN
53,02-04-2019,SI-STIPO 1,ANDHRA,SAI TEJA INDO PLAST HYD,SKY WASHER SZ 802,"288,000.00",SKYZEN
54,02-04-2019,SI-STIPO 1,ANDHRA,SAI TEJA INDO PLAST HYD,SKY Thunder Cool 18AL,"138,000.00",SKYZEN
55,02-04-2019,SI-STIPO 1,ANDHRA,SAI TEJA INDO PLAST HYD,SKY MINI CUTE,"80,000.00",SKYZEN
56,02-04-2019,SI-STIPO 1,ANDHRA,SAI TEJA INDO PLAST HYD,Mini Cute Trolley,"6,400.00",SKYZEN
57,02-04-2019,SI-STIPO 1,ANDHRA,SAI TEJA INDO PLAST HYD,SKY Smart Cool 18ALR LCD-H +USB,"187,000.00",SKYZEN
58,02-04-2019,SI-STIPO 1,ANDHRA,SAI TEJA INDO PLAST HYD,TYPHOON AIR COOLER,"26,000.00",CVCRM
59,02-04-2019,SI-SZP 1,ANDHRA,RAFI ELECTRONICS,SKY MINI CUTE,"3,400.00",SKYZEN
60,02-04-2019,SI-SZP 1,ANDHRA,RAFI ELECTRONICS,Mini Cute Trolley,265.00,SKYZEN
61,02-04-2019,SI-V 1,ANDHRA,GANESH ELECTRONICS (Markapuram),VOLTAS VN D 50E,"70,400.00",VOLTAS
62,02-04-2019,SI-V 1,ANDHRA,GANESH ELECTRONICS (Markapuram),VOLTAS VN D70M,"81,000.00",VOLTAS
63,02-04-2019,SI-V 1,ANDHRA,GANESH ELECTRONICS (Markapuram),VOTLAS VN D55MW,"28,800.00",VOLTAS
64,02-04-2019,TG-SI-CRMV 1,GOLLAPUDI,SRI DHANALAKSHMI AGENCIES kovvuru,TYPHOON AIR COOLER,"15,600.00",CVCRM
65,02-04-2019,TG-SI-CRMV 1,GOLLAPUDI,SRI DHANALAKSHMI AGENCIES kovvuru,SNOW COOL AIR COOLER,"16,800.00",CVCRM
66,02-04-2019,TG-SI-CRMV 1,GOLLAPUDI,SRI DHANALAKSHMI AGENCIES kovvuru,TAX FOR COOLERS,"7,320.00",CVCRM
67,02-04-2019,TG-SI-CRMV 2,GOLLAPUDI,SRI RAJESWARI ENTERPRISES,TYPHOON AIR COOLER,"13,800.00",CVCRM
68,02-04-2019,TG-SI-CRMV 2,GOLLAPUDI,SRI RAJESWARI ENTERPRISES,TAX FOR COOLERS,912.00,CVCRM
69,02-04-2019,TG-SI-CRMV 3,GOLLAPUDI,MEENAKSHI ELECTRONICS,STORM AIR COOLER,"19,750.00",CVCRM
70,02-04-2019,TG-SI-CRMV 3,GOLLAPUDI,MEENAKSHI ELECTRONICS,SAFARI AIR COOLER,"69,360.00",CVCRM
71,02-04-2019,TG-SI-CRMV 3,GOLLAPUDI,MEENAKSHI ELECTRONICS,TAX FOR COOLERS,"7,625.00",CVCRM
72,02-04-2019,TO-SI-ONG 36,ONGOLE,SAI TEJA INDO PLAST HYD,TYPHOON AIR COOLER,"9,048.00",CVCRM
73,02-04-2019,TP-SI-MFGP 1,PONNUR,ANWAR HOME NEEDS,SAFARI AIR COOLER,"5,980.00",CVCRM
74,02-04-2019,TP-SI-MFGP 1,PONNUR,ANWAR HOME NEEDS,STORM AIR COOLER,"5,780.00",CVCRM
75,02-04-2019,TP-SI-MFGP 2,PONNUR,RAFI ELECTRONICS,STORM AIR COOLER,"14,450.00",CVCRM
76,02-04-2019,TP-SI-MFGP 3,PONNUR,Cash Account AKV,SAFARI AIR COOLER,"2,700.00",CVCRM
77,02-04-2019,TP-SI-MFGP 4,PONNUR,E BAZAR PNR,SAFARI AIR COOLER,"27,500.00",CVCRM
78,02-04-2019,TP-SI-MFGP 5,PONNUR,SRI SAI RAM ELECTRONICS,STORM AIR COOLER (CONDOR MOTOR),"69,360.00",CVCRM
79,02-04-2019,TP-SI-MFGP 6,PONNUR,Cash Account AKV,SPARES(COOLERS),550.00,CVCRM
80,02-04-2019,TP-SI-P 1,PONNUR,SRI SAI RAM ELECTRONICS,SAFARI AIR COOLER,"23,760.00",CVCRM
81,02-04-2019,TP-SI-P 1,PONNUR,SRI SAI RAM ELECTRONICS,TAX FOR COOLERS,"7,320.00",CVCRM
82,02-04-2019,TP-SI-P 2,PONNUR,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,SAFARI AIR COOLER,"21,480.00",CVCRM
83,02-04-2019,TP-SI-P 2,PONNUR,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,STORM AIR COOLER,"22,680.00",CVCRM
84,02-04-2019,TP-SI-P 2,PONNUR,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,TAX FOR COOLERS,"3,660.96",CVCRM
85,02-04-2019,TP-SI-P 2,PONNUR,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,,0.04,CVCRM
86,03-04-2019,SI-CBO 2,ANDHRA,DIVYA ELECTRONICS AND ELECTRICALS,TYPHOON AIR COOLER,"96,000.00",CVCRM
87,03-04-2019,SI-CBO 2,ANDHRA,DIVYA ELECTRONICS AND ELECTRICALS,SNOW COOL AIR COOLER,"48,000.00",CVCRM
88,03-04-2019,SI-CCBO 2,ONGOLE,DIVYA ELECTRONICS AND ELECTRICALS,TYPHOON AIR COOLER,"67,200.00",CVCRM
89,03-04-2019,SI-CCBO 2,ONGOLE,DIVYA ELECTRONICS AND ELECTRICALS,SNOW COOL AIR COOLER,"36,000.00",CVCRM
90,03-04-2019,SI-CCBO 2,ONGOLE,DIVYA ELECTRONICS AND ELECTRICALS,TAX FOR COOLERS,"21,960.00",CVCRM
91,03-04-2019,SI-CRMV 4,ANDHRA,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,AIRCOOLER,"18,000.00",CVCRM
92,03-04-2019,SI-CRMV 5,ANDHRA,NIHARIKA DIGITAL&HOME NEEDS,AIRCOOLER,"24,000.00",CVCRM
93,03-04-2019,SI-CRMV 6,ANDHRA,MY HOME SHOPPY,AIRCOOLER,"9,000.00",CVCRM
94,03-04-2019,SI-CRMV 7,ANDHRA,TEJA MOBILE WORLD,AIRCOOLER,"4,000.00",CVCRM
95,03-04-2019,SI-H 4,TELANGANA,REDDYS REFRIGERATION & ENTERPRISES,CVCRM FAN MOTOR,"1,770.00",SERVICE
96,03-04-2019,SI-H 5,TELANGANA,REDDYS REFRIGERATION & ENTERPRISES,CANDY PUMP MOTOR,560.00,SERVICE
97,03-04-2019,SI-SCH 6,TELANGANA,SRIDHAR AGENCIES,SKY Thunder Cool 18AL,"32,745.00",SKYZEN
98,03-04-2019,SI-SCH 6,TELANGANA,SRIDHAR AGENCIES,SKY Super Cool 16AL,"31,080.00",SKYZEN
99,03-04-2019,SI-SCH 6,TELANGANA,SRIDHAR AGENCIES,SKY MINI CUTE,"13,900.00",SKYZEN
100,03-04-2019,SI-SCH 6,TELANGANA,SRIDHAR AGENCIES,Mini Cute Trolley,"1,300.00",SKYZEN
101,03-04-2019,SI-SCH 6,TELANGANA,SRIDHAR AGENCIES,SKY WATER DIS 21B FSR,"30,450.00",SKYZEN
102,03-04-2019,SI-SOH 1,TELANGANA,ASIAN ELECTRONICS,SKY WASHER SZ 802,"79,900.00",SKYZEN
103,03-04-2019,SI-SOH 2,TELANGANA,RS ENTERPRISES,SKY WASHER SZ 802,"79,900.00",SKYZEN
104,03-04-2019,SI-SOH 3,TELANGANA,VAISHNAVI MARKETING,SKY WASHER SZ 802,"79,900.00",SKYZEN
105,03-04-2019,SI-SOO 1,ANDHRA,SURYA ELECTRONICS,SKY WASHER SZ 802,"329,500.00",SKYZEN
106,03-04-2019,SI-SZP 2,ANDHRA,KAMAL ELECTRICALS,SKYZEN LED M24D,"54,280.00",SKYZEN
107,03-04-2019,SI-SZP 2,ANDHRA,KAMAL ELECTRICALS,SKYZEN LED M32S,"192,045.00",SKYZEN
108,03-04-2019,TG-SI-CRMV 4,GOLLAPUDI,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,TYPHOON AIR COOLER,"21,600.00",CVCRM
109,03-04-2019,TG-SI-CRMV 4,GOLLAPUDI,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,TYPHOON AIR COOLER,"13,200.00",CVCRM
110,03-04-2019,TG-SI-CRMV 4,GOLLAPUDI,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,SNOW COOL AIR COOLER,"27,200.00",CVCRM
111,03-04-2019,TG-SI-CRMV 4,GOLLAPUDI,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,TAX FOR COOLERS,"2,760.00",CVCRM
112,03-04-2019,TG-SI-CRMV 5,GOLLAPUDI,NIHARIKA DIGITAL&HOME NEEDS,TYPHOON AIR COOLER,"10,400.00",CVCRM
113,03-04-2019,TG-SI-CRMV 5,GOLLAPUDI,NIHARIKA DIGITAL&HOME NEEDS,TYPHOON AIR WHITE COOLER,"6,000.00",CVCRM
114,03-04-2019,TG-SI-CRMV 5,GOLLAPUDI,NIHARIKA DIGITAL&HOME NEEDS,TAX FOR COOLERS,"3,660.00",CVCRM
115,03-04-2019,TG-SI-CRMV 6,GOLLAPUDI,MY HOME SHOPPY,TYPHOON AIR COOLER,"10,800.00",CVCRM
116,03-04-2019,TG-SI-CRMV 6,GOLLAPUDI,MY HOME SHOPPY,TYPHOON AIR COOLER,"19,800.00",CVCRM
117,03-04-2019,TG-SI-CRMV 6,GOLLAPUDI,MY HOME SHOPPY,TAX FOR COOLERS,"1,380.00",CVCRM
118,03-04-2019,TG-SI-CRMV 7,GOLLAPUDI,TEJA MOBILE WORLD,TYPHOON AIR COOLER,"9,200.00",CVCRM
119,03-04-2019,TG-SI-CRMV 7,GOLLAPUDI,TEJA MOBILE WORLD,TAX FOR COOLERS,608.00,CVCRM
120,03-04-2019,TP-SI-MFGP 7,PONNUR,Cash Account AKV,PUMP MOTOR,200.00,CVCRM
121,03-04-2019,TP-SI-MFGP 8,PONNUR,SWAMY AYYAPPA IRON SAFE & CO,FAN MOTOR,"3,250.00",CVCRM
122,03-04-2019,TP-SI-MFGP 8,PONNUR,SWAMY AYYAPPA IRON SAFE & CO,PUMP MOTOR,875.00,CVCRM
123,04-04-2019,CSI-P 1,ANDHRA,Cash Account AKV,SKYZEN LED M32,"9,590.00",SKYZEN
124,04-04-2019,SI-CBO 3,ANDHRA,MAHAVIR AGENCIES,AIRCOOLER,"242,490.00",CVCRM
125,04-04-2019,SI-CBO 3,ANDHRA,MAHAVIR AGENCIES,AIRCOOLER,"92,040.00",CVCRM
126,04-04-2019,SI-CBO 4,ANDHRA,JYOTHI ELECTRONICS,AIRCOOLER,"160,000.00",CVCRM
127,04-04-2019,SI-CBO 5,ANDHRA,MURALI ELECTRONICS,AIRCOOLER,"47,790.00",CVCRM
128,04-04-2019,SI-CBO 6,ANDHRA,MURALI ELECTRONICS,AIRCOOLER,"46,020.00",CVCRM
129,04-04-2019,SI-CCBO 3,ONGOLE,MAHAVIR AGENCIES,STORM AIR COOLER,"93,130.00",CVCRM
130,04-04-2019,SI-CCBO 3,ONGOLE,MAHAVIR AGENCIES,SAFARI AIR COOLER,"104,300.00",CVCRM
131,04-04-2019,SI-CCBO 3,ONGOLE,MAHAVIR AGENCIES,TYPHOON AIR COOLER,"50,700.00",CVCRM
132,04-04-2019,SI-CCBO 3,ONGOLE,MAHAVIR AGENCIES,CVCRM TANK,"2,000.00",CVCRM
133,04-04-2019,SI-CCBO 3,ONGOLE,MAHAVIR AGENCIES,AUTO SWING MOTOR SARA,710.00,SERVICE
134,04-04-2019,SI-CCBO 4,ONGOLE,JYOTHI ELECTRONICS,SNOW COOL WHITE AIR COOLER,"51,250.00",CVCRM
135,04-04-2019,SI-CCBO 4,ONGOLE,JYOTHI ELECTRONICS,SNOW COOL AIR COOLER,"36,400.00",CVCRM
136,04-04-2019,SI-CCBO 4,ONGOLE,JYOTHI ELECTRONICS,TYPHOON AIR COOLER,"37,700.00",CVCRM
137,04-04-2019,SI-CCBO 4,ONGOLE,JYOTHI ELECTRONICS,TAX FOR COOLERS,"24,400.00",CVCRM
138,04-04-2019,SI-CCBO 5,ONGOLE,MURALI ELECTRONICS,SAFARI WHITE AIR COOLER,"45,630.00",CVCRM
139,04-04-2019,SI-CCBO 6,ONGOLE,MURALI ELECTRONICS,SAFARI WHITE AIR COOLER,"43,940.00",CVCRM
140,04-04-2019,SI-CH 6,PONNUR,CHOICE ELECTRICAL REWINDING WORKS,TYPHOON AIR COOLER,"28,000.00",CVCRM
141,04-04-2019,SI-CH 6,PONNUR,CHOICE ELECTRICAL REWINDING WORKS,TAX FOR COOLERS,"6,100.00",CVCRM
142,04-04-2019,SI-H 6,TELANGANA,CHOICE ELECTRICAL REWINDING WORKS,TYPHOON AIR COOLER,"40,000.00",CVCRM
143,04-04-2019,SI-SCH 7,TELANGANA,RISHI ENTERPRISES,SKY Thunder Cool 18AL,"27,520.00",SKYZEN
144,04-04-2019,SI-SCH 7,TELANGANA,RISHI ENTERPRISES,SKY Smart Cool 18ALR LCD-H +USB,"16,968.00",SKYZEN
145,04-04-2019,SI-SCH 7,TELANGANA,RISHI ENTERPRISES,SKY Smart Cool 18AL,"28,004.00",SKYZEN
146,04-04-2019,SI-SCH 8,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY Hippo Chill 4500,"29,615.00",SKYZEN
147,04-04-2019,SI-SCH 8,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY Super Cool 16AL,"25,360.00",SKYZEN
148,04-04-2019,SI-SCH 8,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY VIBRANT 5000HCR,"22,914.00",SKYZEN
149,04-04-2019,SI-SCH 8,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY Smart Cool 18AL,"35,005.00",SKYZEN
150,04-04-2019,SI-SCH 8,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY Smart Cool 18ALR LCD-H +USB,"42,920.00",SKYZEN
151,04-04-2019,SI-SCH 8,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY Smart Cool 18ALR-H-BT+USB LCD,"45,000.00",SKYZEN
152,04-04-2019,SI-SCH 8,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY Vibrant 18AL/HPL -R H,"26,061.00",SKYZEN
153,04-04-2019,SI-SCH 8,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY Thunder Cool 18AL,"20,640.00",SKYZEN
154,04-04-2019,SI-SCH 9,TELANGANA,VAISHNAVI MARKETING,SKY Smile Blower,"51,986.00",SKYZEN
155,04-04-2019,SI-SCH 9,TELANGANA,VAISHNAVI MARKETING,Smile Trolly,"2,125.00",SKYZEN
156,04-04-2019,SI-SLH 1,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKYZEN LED M42S,"120,000.00",SKYZEN
157,04-04-2019,SI-SLH 1,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKYZEN LED M50S(V51S),"65,780.00",SKYZEN
158,04-04-2019,SI-SLH 1,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKYZEN LED M55S,"43,190.00",SKYZEN
159,04-04-2019,SI-SOH 4,TELANGANA,RISHI ENTERPRISES,SKY WASHER SZ 802,"79,900.00",SKYZEN
160,04-04-2019,SI-SOH 5,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY SEMI WM SD 90R,"46,990.00",SKYZEN
161,04-04-2019,SI-SOH 5,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY SEMI WM SD 68R,"31,605.00",SKYZEN
162,04-04-2019,SI-SOH 5,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY WASHER SZ 802,"4,095.00",SKYZEN
163,04-04-2019,SI-SOH 5,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY WATER DIS 21B FSR,"60,900.00",SKYZEN
164,04-04-2019,SI-SOH 5,TELANGANA,THIRUMALA ELECTRONICS AND ENTERPRISES,SKY WATER DIS 21B FS,"16,650.00",SKYZEN
165,04-04-2019,SI-SOV 2,ANDHRA,SONOVISION WATCH AND ELECTRONICS,SKY SEMI WM SD 72R,"13,780.00",SKYZEN
166,04-04-2019,SI-SOV 2,ANDHRA,SONOVISION WATCH AND ELECTRONICS,SKY SEMI WM SD 75P,"7,890.00",SKYZEN
167,04-04-2019,SI-SOV 3,ANDHRA,NEW GLASS HOUSE,SKY WASHER SZ 802,"22,750.00",SKYZEN
168,04-04-2019,SI-SYV 1,ANDHRA,SAI PRAKASH FURNITURES & HOME APPLIANCES,SYM TOUCH 55,"218,000.00",SYMPHONY
169,04-04-2019,TP-SI-MFGP 9,PONNUR,SRI BHARGAVI ELECTRONICS,FAN MOTOR,"3,900.00",CVCRM
170,04-04-2019,TP-SI-MFGP 9,PONNUR,SRI BHARGAVI ELECTRONICS,PUMP MOTOR,"1,050.00",CVCRM
171,04-04-2019,TP-SI-MFGP 10,PONNUR,RR ELECTRONICS,SAFARI AIR COOLER,"57,800.00",CVCRM
172,04-04-2019,TP-SI-MFGP 10,PONNUR,RR ELECTRONICS,STORM AIR COOLER,"11,560.00",CVCRM
173,05-04-2019,CSI-ONG 4,ANDHRA,CASH ACCOUNT NANO,SAFARI AIR COOLER,"3,500.00",CVCRM
174,05-04-2019,CSI-V 1,ANDHRA,Cash Account Dileep,KEN TURBOCOOL SUPER,"8,600.00",KENSTAR
175,05-04-2019,SI-CBO 7,ANDHRA,MH ENTERPRISES,AIRCOOLER,"99,120.00",CVCRM
176,05-04-2019,SI-CBO 8,ANDHRA,SV DIGITAL,STORM AIR COOLER,"98,760.00",CVCRM
177,05-04-2019,SI-CBO 8,ANDHRA,SV DIGITAL,SAFARI AIR COOLER,"109,120.00",CVCRM
178,05-04-2019,SI-CCBO 7,ONGOLE,MH ENTERPRISES,SAFARI AIR COOLER,"83,440.00",CVCRM
179,05-04-2019,SI-H 7,TELANGANA,MARUTI ELECTRONICS,TYPHOON AIR COOLER,"77,880.00",CVCRM
180,05-04-2019,SI-KSV 1,ANDHRA,A P FURNITURE MALL,KEN DOUBLE COOL,"22,704.00",KENSTAR
181,05-04-2019,SI-SCH 10,TELANGANA,RS ENTERPRISES,SKY Hippo Chill 4500,"29,615.00",SKYZEN
182,05-04-2019,SI-SCH 10,TELANGANA,RS ENTERPRISES,SKY MINI CUTE,"70,875.00",SKYZEN
183,05-04-2019,SI-SCH 10,TELANGANA,RS ENTERPRISES,Mini Cute Trolley,"5,200.00",SKYZEN
184,05-04-2019,SI-SCH 11,TELANGANA,ABHIRAM ELECTRONICS,SKY Hippo Chill 4500,"22,428.00",SKYZEN
185,05-04-2019,SI-SCH 11,TELANGANA,ABHIRAM ELECTRONICS,SKY Smile Blower,"19,773.00",SKYZEN
186,05-04-2019,SI-SCH 11,TELANGANA,ABHIRAM ELECTRONICS,SKY MINI CUTE,"16,990.00",SKYZEN
187,05-04-2019,SI-SCH 11,TELANGANA,ABHIRAM ELECTRONICS,Mini Cute Trolley,"1,325.00",SKYZEN
188,05-04-2019,SI-SCH 11,TELANGANA,ABHIRAM ELECTRONICS,Smile Trolly,"1,350.00",SKYZEN
189,05-04-2019,SI-SCH 12,TELANGANA,ACN DIGITAL SHOPPE,SKY Smart Cool 18ALR-H-BT+USB LCD,"86,500.00",SKYZEN
190,05-04-2019,SI-SCH 12,TELANGANA,ACN DIGITAL SHOPPE,SKY Smart Cool 18AL,"51,954.00",SKYZEN
191,05-04-2019,SI-SCH 12,TELANGANA,ACN DIGITAL SHOPPE,SKY Vibrant 18AL /HPL,"78,480.00",SKYZEN
192,05-04-2019,SI-SCH 12,TELANGANA,ACN DIGITAL SHOPPE,SKY VIBRANT 5000HCR,"41,750.00",SKYZEN
193,05-04-2019,SI-SCH 12,TELANGANA,ACN DIGITAL SHOPPE,SKY Thunder Cool 18AL,"72,530.00",SKYZEN
194,05-04-2019,SI-SCH 12,TELANGANA,ACN DIGITAL SHOPPE,SKY Hippo Chill 4500,"63,260.00",SKYZEN
195,05-04-2019,SI-SCH 13,TELANGANA,KAVITHA ELECTRONICS,SKY Hippo Chill 4500,"33,802.68",SKYZEN
196,05-04-2019,SI-SCH 13,TELANGANA,KAVITHA ELECTRONICS,SKY Vibrant 18AL /HPL,"21,467.34",SKYZEN
197,05-04-2019,SI-SCH 13,TELANGANA,KAVITHA ELECTRONICS,SKY Thunder Cool 18AL,"50,418.00",SKYZEN
198,05-04-2019,SI-SCH 13,TELANGANA,KAVITHA ELECTRONICS,SKY Super 5000,"23,046.00",SKYZEN
199,05-04-2019,SI-SCH 13,TELANGANA,KAVITHA ELECTRONICS,SKY VIBRANT 5000HCR,"19,000.00",SKYZEN
