SNo,Date,Voucher No,Receipt Mode,Branch,Party,Account,Net Amount,Division
103,15-04-2019,RBR-P 78,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
104,15-04-2019,RBR-P 79,Cheques,ANDHRA,J.B HOME NEEDS,HDFC BANK OD 0425,"50,000.00",SKYZEN
105,15-04-2019,RBR-P 80,Cheques,ANDHRA,VIJAYALAKSHMI ELECTRONICS,HDFC BANK OD 0425,"24,000.00",SKYZEN
106,15-04-2019,RBR-P 81,Cheques,ANDHRA,KUMAR ENTERPRISES TV&FURNATURE SHOWROOM,HDFC BANK OD 0425,"20,000.00",SKYZEN
107,15-04-2019,RBR-P 82,Cheques,ANDHRA,VIJAYALAKSHMI TEXTILES AND COLLECTIONS,HDFC BANK OD 0425,"143,000.00",SKYZEN
108,15-04-2019,RBR-P 83,Cheques,ANDHRA,SRI KRISHNA ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
109,15-04-2019,RBR-P 84,Cheques,ANDHRA,SRI SUCHITRA ELECTRONICS,HDFC BANK OD 0425,"8,000.00",SKYZEN
110,15-04-2019,RBR-P 85,Cheques,ANDHRA,HS ENTERPRISE NEW,HDFC BANK OD 0425,"200,000.00",SKYZEN
111,15-04-2019,RBR-P 86,Cheques,ANDHRA,SIVA METAL & HOME NEEDS,HDFC BANK OD 0425,"30,000.00",SKYZEN
112,15-04-2019,RBR-P 87,Cheques,ANDHRA,LAKSHMI CHAITANYA ELECTRICALS AND ELECTRONICS,HDFC BANK OD 0425,"43,333.00",SKYZEN
113,15-04-2019,RBR-P 88,Cheques,ANDHRA,LAKSHMI CHAITANYA ELECTRICALS AND ELECTRONICS,HDFC BANK OD 0425,"43,333.00",SKYZEN
114,15-04-2019,RBR-P 89,Cheques,ANDHRA,SRI SAI TV SHOW ROOM,HDFC BANK OD 0425,"133,958.00",SKYZEN
115,15-04-2019,RBR-P 90,Cheques,ANDHRA,SRI SAI TV SHOW ROOM,HDFC BANK OD 0425,"18,929.00",SKYZEN
116,15-04-2019,RBR-P 91,Cheques,ANDHRA,SRI RANGA ELECTRONICS,HDFC BANK OD 0425,"100,000.00",SKYZEN
117,15-04-2019,RBR-P 92,Cheques,ANDHRA,KRISHNA GEETHA ENTERPRISES,HDFC BANK OD 0425,"40,000.00",SKYZEN
118,15-04-2019,RBR-P 93,Cheques,ANDHRA,RADHA KRISHNA ELECTRONICS,HDFC BANK OD 0425,"20,000.00",SKYZEN
119,15-04-2019,RBR-P 94,Cheques,ANDHRA,INNOVATION,HDFC BANK OD 0425,"22,725.00",SKYZEN
120,15-04-2019,RBR-P 95,Cheques,ANDHRA,AYYAPPA ELECTRONICS & HOME NEEDS,HDFC BANK OD 0425,"100,000.00",SKYZEN
121,15-04-2019,RBR-P 98,Cheques,ANDHRA,SRI SATGURU ELECTRONICS,HDFC BANK OD 0425,"55,060.00",SKYZEN
122,15-04-2019,RBR-P 99,Cheques,TELANGANA,NAGA SAI HOME APPLIANCE,HDFC BANK OD 0425,"23,000.00",CVCRM
123,15-04-2019,RP-HR 1,Cash,ANDHRA,SRI VIJAYA LAKSHMI ENTER PRISES,Travelling Cash Harnatha reddy,"10,000.00",SKYZEN
124,15-04-2019,RP-HR 2,Cash,ANDHRA,SRI VENKATESWARA HOME NEEDS,Travelling Cash Harnatha reddy,"10,000.00",SKYZEN
125,15-04-2019,RP-RK 7,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"8,000.00",SKYZEN
126,15-04-2019,TG-RP-V 11,Cash,GOLLAPUDI,VIJAYA MANIKANTA FURNITURES,Travelling Cash Ratnakumar,"37,624.00",SKYZEN
127,15-04-2019,TG-RP-V 15,Cash,GOLLAPUDI,MARUTHI ELE & HOME NEEDS,Travelling Cash Surendra,"100,000.00",SKYZEN
128,15-04-2019,TG-RP-V 16,Cash,GOLLAPUDI,MY HOME SHOPPY,Travelling Cash Ratnakumar,"53,686.00",SKYZEN
129,16-04-2019,RBR-P 103,Cheques,ANDHRA,RUCHITA HOME NEEDS & ELECTRONICS,HDFC BANK OD 0425,"50,000.00",SKYZEN
130,16-04-2019,RBR-P 104,Cheques,ANDHRA,DREAM ENTERPRISES,HDFC BANK OD 0425,"133,150.00",SKYZEN
131,16-04-2019,RBR-P 105,Cheques,ANDHRA,GVS TECHNOLOGIES,HDFC BANK OD 0425,"400,000.00",SKYZEN
132,16-04-2019,RBR-P 106,Cheques,ANDHRA,VK ENTERPRISES,HDFC BANK OD 0425,"200,000.00",SKYZEN
133,16-04-2019,RBR-P 107,Cheques,ANDHRA,MADHU AGENCIES,HDFC BANK OD 0425,"200,000.00",SKYZEN
134,16-04-2019,RBR-P 108,Cheques,ANDHRA,SURYA ELECTRONICS,HDFC BANK OD 0425,"500,000.00",SKYZEN
135,16-04-2019,RBR-P 109,Cheques,ANDHRA,SRI VINAYAKA ELECTRONICS,HDFC BANK OD 0425,"500,000.00",SKYZEN
136,16-04-2019,RBR-P 110,Cheques,ANDHRA,TRILOK ELECTRONICS,HDFC BANK OD 0425,"75,000.00",SKYZEN
137,16-04-2019,RBR-P 111,Cheques,ANDHRA,NEELIMA ELECTRONICS & HOME NEEDS,HDFC BANK OD 0425,"35,000.00",SKYZEN
138,16-04-2019,RBR-P 112,Cheques,ANDHRA,SRI SATYA SAI HOMENEEDS TV&FUR SHOWROOM,HDFC BANK OD 0425,"40,800.00",SKYZEN
139,16-04-2019,RBR-P 113,Cheques,ANDHRA,VISWESWARA AGENCIES,HDFC BANK OD 0425,"30,000.00",SKYZEN
140,16-04-2019,RBR-P 114,Cheques,TELANGANA,RS ENTERPRISES,HDFC BANK OD 0425,"300,000.00",SKYZEN
141,16-04-2019,RBR-P 115,Cheques,ANDHRA,SAI PRAKASH FURNITURES & HOME APPLIANCES,HDFC BANK OD 0425,"100,000.00",SKYZEN
142,16-04-2019,RBR-P 116,Cheques,ANDHRA,KUMAR ENTERPRISES TV&FURNATURE SHOWROOM,HDFC BANK OD 0425,"20,000.00",SKYZEN
143,16-04-2019,RBR-P 117,Cheques,ANDHRA,MURALI ELECTRONICS,HDFC BANK OD 0425,"700,000.00",SKYZEN
144,16-04-2019,RBR-P 118,Cheques,ANDHRA,JYOTHI ELECTRONICS,HDFC BANK OD 0425,"108,000.00",CVCRM
145,16-04-2019,RBR-P 119,Cheques,ANDHRA,VIJAYALAKSHMI TEXTILES AND COLLECTIONS,HDFC BANK OD 0425,"110,700.00",SKYZEN
146,16-04-2019,RBR-P 120,Cheques,TELANGANA,NAGA SAI HOME APPLIANCE,HDFC BANK OD 0425,"25,144.00",CVCRM
147,16-04-2019,RBR-P 121,Cheques,ANDHRA,NEW KAVERI HOME NEEDS (HA),HDFC BANK OD 0425,"20,000.00",SKYZEN
148,16-04-2019,RBR-P 122,Cheques,ANDHRA,SONOVISION WATCH AND ELECTRONICS,HDFC BANK OD 0425,"75,000.00",SKYZEN
149,16-04-2019,RBR-P 123,Cheques,ANDHRA,SRI SAI DURGA HOME NEEDS,HDFC BANK OD 0425,"22,500.00",SKYZEN
150,16-04-2019,RBR-P 124,Cheques,ANDHRA,GAYATHRI FURNITURES & HOME NEEDS,HDFC BANK OD 0425,"102,400.00",SKYZEN
151,16-04-2019,RBR-P 125,Cheques,ANDHRA,SRI SAI RAM ELECTRONICS,HDFC BANK OD 0425,"48,000.00",CVCRM
152,16-04-2019,RBR-P 138,Cheques,ANDHRA,SRIDHAR AGENCIES,HDFC BANK OD 0425,"77,738.00",SKYZEN
153,16-04-2019,RBR-P 96,Cheques,ANDHRA,SRINIVASA SELECTIONS,HDFC BANK OD 0425,"21,480.00",CVCRM
154,16-04-2019,RBR-P 97,Cheques,ANDHRA,ASIAN ELECTRONICS,HDFC BANK OD 0425,"46,000.00",SKYZEN
155,16-04-2019,RP-HR 3,Cash,ANDHRA,SRI VENKATESWARA HOME NEEDS,Travelling Cash Harnatha reddy,"10,000.00",SKYZEN
156,16-04-2019,RP-HR 4,Cash,ANDHRA,HARSHITHA HOME NEEDS,Travelling Cash Harnatha reddy,"5,000.00",SKYZEN
157,16-04-2019,TG-RP-V 37,Cash,GOLLAPUDI,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,Travelling Cash Nani,"68,986.00",SKYZEN
158,16-04-2019,TG-RP-V 38,Cash,GOLLAPUDI,SRI RAJESWARI ENTERPRISES,Travelling Cash Nani,"23,765.00",SKYZEN
159,16-04-2019,TG-RP-V 39,Cash,GOLLAPUDI,PVR FURNITURE & HOME NEEDS,Travelling Cash Nani,"46,920.00",SKYZEN
160,17-04-2019,RBR-P 126,Cheques,ANDHRA,SRI GAYATRI ELECTRONICS,HDFC BANK OD 0425,"100,000.00",SKYZEN
161,17-04-2019,RBR-P 127,Cheques,ANDHRA,ASIAN ELECTRONICS,HDFC BANK OD 0425,"44,550.00",SKYZEN
162,17-04-2019,RBR-P 128,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
163,17-04-2019,RBR-P 129,Cheques,ANDHRA,VAISHNAVI MARKETING,HDFC BANK OD 0425,"100,000.00",SKYZEN
164,17-04-2019,RBR-P 130,Cheques,ANDHRA,JYOTI ELECTRONICS,HDFC BANK OD 0425,"300,000.00",SKYZEN
165,17-04-2019,RBR-P 131,Cheques,ANDHRA,SRI SAMBASIVA ENTER PRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
166,17-04-2019,RBR-P 132,Cheques,ANDHRA,STAR VISION TV SHOP,HDFC BANK OD 0425,"64,740.00",SKYZEN
167,17-04-2019,RBR-P 133,Cheques,ANDHRA,BALAJI ENTERPRISESS,HDFC BANK OD 0425,"50,000.00",SKYZEN
168,17-04-2019,RBR-P 134,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"59,999.00",SKYZEN
169,17-04-2019,RBR-P 135,Cheques,ANDHRA,MVV ENTERPRISES,HDFC BANK OD 0425,"50,000.00",SKYZEN
170,17-04-2019,RBR-P 136,Cheques,TELANGANA,BOMBAY COOLERS,HDFC BANK OD 0425,"86,024.00",CVCRM
171,17-04-2019,RBR-P 137,Cheques,ANDHRA,BHARAT ELECTRONICS AND HOME APPLIANCES,HDFC BANK OD 0425,"321,048.00",SKYZEN
172,17-04-2019,RBR-P 139,Cheques,ANDHRA,RAJU ELECTRONICS,HDFC BANK OD 0425,"50,000.00",SKYZEN
173,17-04-2019,RBR-P 140,Cheques,TELANGANA,NEW MAKAM TRADERS,HDFC BANK OD 0425,"28,000.00",SKYZEN
174,17-04-2019,RBR-P 141,Cheques,ANDHRA,RAGHAVENDRA ELE GDV,HDFC BANK OD 0425,"48,000.00",SKYZEN
175,17-04-2019,RBR-P 142,Cheques,ANDHRA,INNOVATION,HDFC BANK OD 0425,"13,490.00",SKYZEN
176,17-04-2019,RP-RK 10,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"7,244.00",SKYZEN
177,17-04-2019,RP-RK 11,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
178,17-04-2019,RP-RK 12,Cash,ANDHRA,SRI KARTHIKEYA ELECTRONICS&AUTO MOBILES,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
179,17-04-2019,RP-RK 13,Cash,ANDHRA,SRI KARTHIKEYA ELECTRONICS&AUTO MOBILES,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
180,17-04-2019,RP-RK 14,Cash,ANDHRA,SRI KARTHIKEYA ELECTRONICS&AUTO MOBILES,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
181,17-04-2019,RP-RK 15,Cash,ANDHRA,SRI KARTHIKEYA ELECTRONICS&AUTO MOBILES,Travelling Cash Ratnakumar,"6,000.00",SKYZEN
182,17-04-2019,RP-RK 8,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
183,17-04-2019,RP-RK 9,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
184,17-04-2019,TG-RP-V 17,Cash,GOLLAPUDI,SRI KARTHIKEYA ELECTRONICS&AUTO MOBILES,Travelling Cash Ratnakumar,"110,422.00",SKYZEN
185,17-04-2019,TG-RP-V 18,Cash,GOLLAPUDI,RAGHAVENDRA ELE GDV,Travelling Cash Raja,"90,000.00",SKYZEN
186,17-04-2019,TG-RP-V 19,Cash,GOLLAPUDI,RR ELECTRONICS,Travelling Cash Raja,"95,640.00",SKYZEN
187,17-04-2019,TG-RP-V 20,Cash,GOLLAPUDI,RR ELECTRONICS,Travelling Cash Raja,"94,440.00",SKYZEN
