SNo,Master,Short,Stock Management Unit,AlternateSMU,Status,Node,Master Group,Master Node1,Category1,Category2,Category3,Cost1,Cost2,Cost3
14,FESTIVE MB REVOLVING CHAIR,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
15,"ORIANT 16""WALL 47 WALL FAN",,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
16,"ORIANT 18""TORNADO II WALL",,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
17,SAM MO CE117PC-B2/XTL,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
18,SAM MO MC28H5025QB/TL,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
19,SAM MO MC28M6055CK/TL,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
20,SAM MO MC32J7035CK/TL,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
21,SAM MO MC32K7055VC/TL,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
22,SAM MO MC32K7055VP/TL,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
23,SAM REF RR24M285ZR3,24M285ZR3,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,50,50,50
24,SPARES,,Nos,,Active,ADJ PRODUCT,Products,All Products,ADJ PRODUCTS,ADJ PRODUCT,,70,70,70
25,JUMBO (DEF) AIR COOLER,JUMBO (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
26,SAFARI (DEF) AIR COOLER,SAFARI (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
27,SAFARI (DEF) AIR COOLER (ANTI),SAFARI (DEF) (ANTI),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
28,SAFARI WHITE (DEF) AIR COOLER,SAFARI WHITE (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
29,SNOW COOL AL WHITE (DEF) AIRCOOLER,SNOW COOL AL (DEF) WHITE,Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
30,SNOW COOL AL(DEF) AIRCOOLER,SNOW COOL AL (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
31,SNOW COOL WHITE (DEF) AIR COOLER,SNOW COOL (DEF) WHITE,Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
32,SNOW COOL(DEF) AIR COOLER,SNOW COOL (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
33,STORM (DEF) AIR COOLER,STORM (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
34,STORM AIR COOLER (DEF)(ANTI),STORM (DEF) (ANTI),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
35,STORM WHITE (DEF)  AIR COOLER,STORM WHITE (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
36,SUPREME GOLD (DEF) AIR COOLER,SUPREME GOLD (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
37,SWIFT (DEF)COOLES,SWIFT(DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
38,TYPHOON (DEF) AIR COOLER,TYPHOON (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
39,TYPHOON AL WHITE (DEF)  AIRCOLER,TYPHOON AL WHITE (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
40,TYPHOON AL(DEF) AIRCOOLER,TYPHOON AL (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
41,TYPHOON WHITE (DEF) AIR COOLER,TYPHOON WHITE (DEF),Nos,,Active,CVCRM (DEF) COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM (DEF) COOLERS,,70,70,70
42,12 INCH MINI AIRCOOLER BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,70,70,70
43,12 INCH TALLTOWER BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,70,70,70
44,AIRCOOLER PLASTIC BODYS,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,70,70,70
45,SAFARI BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,70,70,70
46,SAFARI WHITE BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,80,80,80
47,SNOW COOL BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,80,80,80
48,SNOW COOL WHITE BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,80,80,80
49,STORM BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,80,80,80
50,STORM WHITE BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,80,80,80
51,TYPHOON BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,80,80,80
52,TYPHOON WHITE BODY,,Nos,,Active,CVCRM BODY,Products,All Products,CVCRM PRODUCTS,CVCRM BODY,,80,80,80
53,12 INCH MINI AIRCOOLER,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
54,12 INCH TALLTOWER COOLER,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
55,AIRCOOLER,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
56,CVCRM ABDULLAH COOLER,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
57,DESERT AIR COOLER,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
58,JUMBO AIR COOLER,JUMBO,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
59,S COOL 16ALH,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
60,SAFARI AIR COOLER,SAFARI,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
61,SAFARI AIR COOLER (ANTI),SAFARI (ANTI),Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
62,SAFARI WHITE AIR COOLER,SAFARI WHITE,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
63,SNOW COOL AIR COOLER,SNOW COOL,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
64,SNOW COOL AIR COOLER HC,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
65,SNOW COOL AL AIRCOOLER,SNOW COOL AL,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
66,SNOW COOL AL WHITE AIRCOOLER,SNOW COOL AL WHITE,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
67,SNOW COOL WHITE AIR COOLER,SNOW COOL WHITE,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,80,80,80
68,SNOWCOOL WHITE AIRCOOLER HC,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
69,SPEEDCOOL 16ALH,SPEED COOL 16ALH,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
70,STORM AIR COOLER,STORM,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
71,STORM AIR COOLER (ANTI),STORM (ANTI),Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
72,STORM AIR COOLER (CONDOR MOTOR),STORM (CONDOR MOTOR),Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
73,STORM WHITE AIR COOLER,STORM WHITE,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
74,SUMO PLUS,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
75,SUPER SLIM,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
76,SUPREME GOLD AIR COOLER,SUPREME GOLD,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
77,SUPREME GOLD PLUS,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
78,TYPHOON 16AL WHITE HONEYCOMB,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
79,TYPHOON AIR COOLER,TYPHOON,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
80,TYPHOON AIR COOLER HONEY COMB,,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
81,TYPHOON AL AIRCOOLER,TYPHOON AL,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
82,TYPHOON AL WHITE AIRCOLER,TYPHOON AL WHITE,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
83,TYPHOON AL WHITE AIRCOLER(TRAY),,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
84,TYPHOON WHITE AIRCOOLER,TYPHOON WHITE,Nos,,Active,CVCRM COOLERS,Products,All Products,CVCRM PRODUCTS,CVCRM COOLERS,,90,90,90
85,CVCRM FAN MOTOR,,Nos,,Active,CVCRM FAN MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
86,FAN MOTOR,,Nos,,Active,CVCRM FAN MOTORS,Products,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
87,FEDERAL FAN MOTOR,,Nos,,Active,CVCRM FAN MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
88,MARATHAN MOTOR,,Nos,,Active,CVCRM FAN MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
89,Motor ECO (With out ring),,Nos,,Active,CVCRM FAN MOTORS,Products,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
90,Motor H/S DLX,,Nos,,Active,CVCRM FAN MOTORS,Products,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
91,SKY FAN MOTOR CC198,,Nos,,Active,CVCRM FAN MOTORS,Products,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
92,ZEENITH F.H.P MOTOR (ECO),F.H.P MOTOR (ECO),Nos,,Active,CVCRM FAN MOTORS,Products,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
93,"ZEENITH ISI 1"" FAN MOTOR",,Nos,,Active,CVCRM FAN MOTORS,Products,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
94,ZENITH ISI MOTOR,,Nos,,Active,CVCRM FAN MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
95,ZENITH MOTOR,,Nos,,Active,CVCRM FAN MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM FAN MOTORS,,120,120,120
96,CANDY PUMP MOTOR,PUMP MOTOR CANDY,Nos,,Active,CVCRM PUMP MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM PUMP MOTORS,,120,120,120
97,CIRCLE PUMP MOTOR,PUMP MOTOR CIRCLE,Nos,,Active,CVCRM PUMP MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM PUMP MOTORS,,120,120,120
98,KHAITAN PUMP MOTOR,,Nos,,Active,CVCRM PUMP MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM PUMP MOTORS,,120,120,120
99,PUMP MOTOR,,Nos,,Active,CVCRM PUMP MOTORS,Products,All Products,CVCRM PRODUCTS,CVCRM PUMP MOTORS,,120,120,120
100,PUMPMOTOR COVER,,Nos,,Active,CVCRM PUMP MOTORS,Products,All Products,CVCRM PRODUCTS,CVCRM PUMP MOTORS,,120,120,120
101,ZOLTA PUMP MOTOR,,Nos,,Active,CVCRM PUMP MOTORS,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM PUMP MOTORS,,120,120,120
102,12 MM PVC PIPE 10 MTRS,,Nos,,Active,CVCRM SPARES,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
103,12 MM PVC PIPE 30 MTRS,,Nos,,Active,CVCRM SPARES,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
104,12 MM PVC PIPE 50 MTRS,,Nos,,Active,CVCRM SPARES,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
105,BOLTS & NUTS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
106,CLAMP,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
107,CVCRM BACK LEGS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
108,CVCRM EPS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
109,CVCRM FAN BLADE,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
110,CVCRM FRONT LEGS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
111,CVCRM FRONT PANEL,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
112,CVCRM LOUVERS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
113,CVCRM LOUVERS LINKS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
114,CVCRM NOBS,NOBS,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
115,CVCRM SAFARI DECO,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
116,CVCRM Side / Back Outer Jally,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
117,CVCRM TANK,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
118,CVCRM TOP,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
119,CVCRM U PATTI,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
120,HIPPO NOBS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,120,120,120
121,ICE GEL PACK,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
122,JUMBO BITS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
123,L BOW,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
124,LED 19,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
125,MAINS CARD CVCRM,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
126,MOUNTING RING,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
127,NIPPLE NOZZLE,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
128,PATI BELT BITS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
129,SIDE PANNELS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
130,SPARES(COOLERS),,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
131,SS NIPPLE 3/8 BSP,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
132,SWING MOTOR,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
133,SWITCH (FUNCTIONAL),,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
134,SWITCH (REGULAR),,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
135,SWITCH PLATE,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
136,SYNCHRONOUS MOTOR,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
137,TAX FOR COOLERS,,Nos,,Active,CVCRM SPARES,Products,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
138,WOOD WOOL GENERAL,,Nos,,Active,CVCRM SPARES,SERVICE SPARES,All Products,CVCRM PRODUCTS,CVCRM SPARES,,150,150,150
139,ESP COOLPLUS,,Nos,,Active,ESAPLING PRODUCTS,Products,All Products,SKYZEN PRODUCTS,ESAPLING PRODUCTS,,150,150,150
140,ESP CURVY,,Nos,,Active,ESAPLING PRODUCTS,Products,All Products,SKYZEN PRODUCTS,ESAPLING PRODUCTS,,150,150,150
141,ESP ULTIMA,,Nos,,Active,ESAPLING PRODUCTS,Products,All Products,SKYZEN PRODUCTS,ESAPLING PRODUCTS,,150,150,150
142,AURA SMART HC,,Nos,,Active,EWEL PRODUCTS,Products,All Products,SKYZEN PRODUCTS,EWEL PRODUCTS,,150,150,150
143,AURA SMART WITH REMOTE HC,,Nos,,Active,EWEL PRODUCTS,Products,All Products,SKYZEN PRODUCTS,EWEL PRODUCTS,,150,150,150
144,AURA WIND WITH TROLL,,Nos,,Active,EWEL PRODUCTS,Products,All Products,SKYZEN PRODUCTS,EWEL PRODUCTS,,150,150,150
145,A-5 FLEXIBLE NOTE BOOK,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,150,150,150
146,CANCEL PRODUCT,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,150,150,150
147,CHAIRS,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,150,150,150
148,CLIP BOARD,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,150,150,150
149,DIARY,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,150,150,150
150,KEY CHAIN LEATHER,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
151,KEY RING,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
152,PAPER WEIGHT,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
153,PEN STAND,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
154,SILVER BOWLS,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
155,T SHIRT,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
156,TROLLY SUITCASE,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
157,WALL CLOOK,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
158,WALLET,,Nos,,Active,GIFT ITEMS,Products,All Products,ADJ PRODUCTS,GIFT ITEMS,,180,180,180
159,BUSH PART MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
160,EVAPORATIVE AIR COOLER PLASTIC PARTS(FRONT &FRONT COVER) - SETS,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
161,EVAPORATIVE AIR COOLER PLASTIC PARTS(H- LOUVER) - SETS,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
162,EVAPORATIVE AIR COOLER PLASTIC PARTS(HONEYCOMB) - SETS,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
163,EVAPORATIVE AIR COOLER PLASTIC PARTS(LID) - SETS,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
164,EVAPORATIVE AIR COOLER PLASTIC PARTS(SUPPORT) - SETS,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
165,"EVAPORATIVE AIR COOLER PLASTIC PARTS(SWITCH PIECE,SMALL PARTS,H-",,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
166,EVAPORATIVE AIR COOLER PLASTIC PARTS(TOP & MOUNTING) - SETS,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
167,FRONT COVER MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
168,FRONT MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
169,H-LOUVER LINK1 MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
170,H-LOUVER LINK2 MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
171,H-LOUVER MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
172,KNOB_BASE MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
173,KNOB_DECO  MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
174,LID MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
