SNo,Date,Voucher No,Branch,Party,Purchase Account,Product,Net Amount,Division
33,03-04-2019,PV-ONG 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18AL,"110,532.96",SKYZEN
34,03-04-2019,PV-ONG 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18ALH,"50,574.80",SKYZEN
35,03-04-2019,PV-ONG 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18AL,"4,669.26",SKYZEN
36,03-04-2019,PV-ONG 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18ALH,"5,118.84",SKYZEN
37,03-04-2019,PV-ONG 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY MINI CUTE,"80,485.44",SKYZEN
38,03-04-2019,PV-ONG 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY VIBRANT 5000 HC,"4,433.26",SKYZEN
39,03-04-2019,PV-ONG 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.44,SKYZEN
40,03-04-2019,PV-P 1,ANDHRA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M24D,"48,970.00",SKYZEN
41,03-04-2019,PV-P 1,ANDHRA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M32S,"180,894.00",SKYZEN
42,04-04-2019,PV-ONG 12,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"203,196.00",SKYZEN
43,04-04-2019,PV-ONG 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"94,872.00",CVCRM
44,04-04-2019,PV-ONG 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"101,185.00",CVCRM
45,04-04-2019,PV-ONG 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SNOW COOL AIR COOLER,"74,782.50",CVCRM
46,04-04-2019,PV-ONG 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,CVCRM TANK,"1,208.32",CVCRM
47,04-04-2019,PV-ONG 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY TANK,"1,298.00",SKYZEN
48,04-04-2019,PV-ONG 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SWING MOTOR,472.00,CVCRM
49,04-04-2019,PV-ONG 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.18,SKYZEN
50,04-04-2019,PV-ONG 14,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SNOW COOL AIR COOLER HC,"48,675.00",CVCRM
51,05-04-2019,PV-H 2,TELANGANA,SAI TEJA INDO PLAST VJA,Purchase of 18% Items,SKY SEMI WM SD 75P,"197,600.00",SKYZEN
52,05-04-2019,PV-H 2,TELANGANA,SAI TEJA INDO PLAST VJA,Purchase of 18% Items,SKY INDUSTRIAL COOLER 30 INCH,"90,000.00",SKYZEN
53,05-04-2019,PV-H 2,TELANGANA,SAI TEJA INDO PLAST VJA,Purchase of 18% Items,SKYZEN LED H3214N,"40,200.00",SKYZEN
54,05-04-2019,PV-H 2,TELANGANA,SAI TEJA INDO PLAST VJA,Purchase of 18% Items,SKYZEN LED H3205,"14,000.00",SKYZEN
55,05-04-2019,PV-H 2,TELANGANA,SAI TEJA INDO PLAST VJA,Purchase of 18% Items,SKYZEN LED H3214S,"52,800.00",SKYZEN
56,05-04-2019,PV-ONG 15,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"40,780.80",CVCRM
57,05-04-2019,PV-ONG 15,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
58,05-04-2019,PV-ONG 16,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"39,270.40",CVCRM
59,05-04-2019,PV-ONG 16,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.40,SKYZEN
60,05-04-2019,PV-ONG 17,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"260,768.20",SKYZEN
61,05-04-2019,PV-ONG 17,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.20,SKYZEN
62,05-04-2019,PV-ONG 18,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"80,948.00",CVCRM
63,06-04-2019,PV-ONG 19,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"9,912.00",CVCRM
64,06-04-2019,PV-ONG 19,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"67,938.50",CVCRM
65,06-04-2019,PV-ONG 20,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"7,080.00",CVCRM
66,06-04-2019,PV-ONG 20,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"70,829.50",CVCRM
67,06-04-2019,PV-ONG 20,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.50,SKYZEN
68,06-04-2019,PV-ONG 21,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"67,732.00",SKYZEN
69,06-04-2019,PV-ONG 22,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"42,480.00",CVCRM
70,06-04-2019,PV-ONG 22,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"46,256.00",CVCRM
71,06-04-2019,PV-V 1,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKY SEMI WM SD 68R,"328,600.00",SKYZEN
72,06-04-2019,PV-V 1,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKY WATER DIS 21B FSR,"104,000.00",SKYZEN
73,06-04-2019,PV-V 1,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKY WATER DIS 21B FSR,"5,000.00",SKYZEN
74,06-04-2019,PV-V 1,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKY MINI CUTE,"1,900.00",SKYZEN
75,06-04-2019,PV-V 1,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED V24E,"5,000.00",SKYZEN
76,06-04-2019,PV-V 1,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED M32S,"8,500.00",SKYZEN
77,06-04-2019,PV-V 1,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED VQ32,"8,000.00",SKYZEN
78,06-04-2019,PV-V 2,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 28% Items,SKYZEN LED V51,"20,000.00",SKYZEN
79,06-04-2019,PV-V 2,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 28% Items,SKYZEN LED M42S,"13,000.00",SKYZEN
80,07-04-2019,PV-ONG 23,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"31,718.40",CVCRM
81,07-04-2019,PV-ONG 23,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.40,SKYZEN
82,08-04-2019,PV-H 3,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY WASHER SZ 802,"288,000.00",SKYZEN
83,08-04-2019,PV-ONG 24,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"76,464.00",CVCRM
84,08-04-2019,PV-ONG 25,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SNOW COOL WHITE AIR COOLER,"1,976.50",CVCRM
85,08-04-2019,PV-ONG 25,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SNOW COOL AIR COOLER HC,"192,753.00",CVCRM
86,08-04-2019,PV-ONG 25,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.50,SKYZEN
87,08-04-2019,PV-ONG 26,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"270,928.00",SKYZEN
88,08-04-2019,PV-ONG 27,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"76,464.00",CVCRM
89,08-04-2019,PV-ONG 28,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"28,320.00",CVCRM
90,08-04-2019,PV-ONG 28,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Hippo Chill 4500,"17,992.64",SKYZEN
91,08-04-2019,PV-ONG 28,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.36,SKYZEN
92,08-04-2019,PV-ONG 29,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,TYPHOON AIR COOLER,"45,784.00",CVCRM
93,08-04-2019,PV-ONG 29,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,ROTARY SWITCH FUNCTION ERS 14M,"1,062.00",SKYZEN
94,09-04-2019,PV-H 4,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M24D,"685,580.00",SKYZEN
95,09-04-2019,PV-H 4,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M32S,"697,734.00",SKYZEN
96,09-04-2019,PV-H 4,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M32SM,"182,133.00",SKYZEN
97,09-04-2019,PV-H 5,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY WASHER SZ 802,"360,000.00",SKYZEN
98,09-04-2019,PV-H 5,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY MINI CUTE,"200,000.00",SKYZEN
99,09-04-2019,PV-H 5,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Smile Blower,"185,000.00",SKYZEN
100,09-04-2019,PV-H 5,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,Mini Cute Trolley,"15,040.00",SKYZEN
101,09-04-2019,PV-H 5,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,Smile Trolly,"18,000.00",SKYZEN
102,09-04-2019,PV-ONG 30,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"338,660.00",SKYZEN
103,09-04-2019,PV-ONG 30,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Mini Cute Trolley,"18,079.96",SKYZEN
104,09-04-2019,PV-ONG 30,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.04,SKYZEN
105,09-04-2019,PV-ONG 31,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"31,718.40",CVCRM
106,09-04-2019,PV-ONG 31,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.40,SKYZEN
107,09-04-2019,PV-ONG 32,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"17,346.00",CVCRM
108,09-04-2019,PV-ONG 33,ANDHRA,CANCEL DEALER,Purchase of 18% Items,CANCEL PRODUCT,0.01,SERVICE
109,09-04-2019,PV-ONG 33,ANDHRA,CANCEL DEALER,,,-0.01,SKYZEN
110,09-04-2019,PV-ONG 34,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"270,928.00",SKYZEN
111,10-04-2019,PV-ONG 35,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 801,"212,400.00",SKYZEN
112,10-04-2019,PV-ONG 36,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,AIRCOOLER PLASTIC BODYS,"93,172.80",CVCRM
113,10-04-2019,PV-ONG 36,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
114,10-04-2019,PV-ONG 37,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"41,064.00",CVCRM
115,10-04-2019,PV-ONG 37,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"40,474.00",CVCRM
116,10-04-2019,PV-ONG 38,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"10,118.50",CVCRM
117,10-04-2019,PV-ONG 38,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.50,SKYZEN
118,10-04-2019,PV-ONG 39,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"41,064.00",CVCRM
119,10-04-2019,PV-ONG 40,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"28,320.00",CVCRM
120,10-04-2019,PV-ONG 41,ANDHRA,CANCEL DEALER,Purchase of 18% Items,CANCEL PRODUCT,0.01,SERVICE
121,10-04-2019,PV-ONG 41,ANDHRA,CANCEL DEALER,,,-0.01,SKYZEN
122,10-04-2019,PV-V 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"135,464.00",SKYZEN
123,10-04-2019,PV-V 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,AIRCOOLER,"70,800.00",CVCRM
124,10-04-2019,PV-V 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,AIRCOOLER,"73,720.50",CVCRM
125,10-04-2019,PV-V 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.50,SKYZEN
126,10-04-2019,PV-V 32,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"69,384.00",CVCRM
127,10-04-2019,PV-V 32,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"114,194.50",CVCRM
128,11-04-2019,PV-V 4,ANDHRA,RAGHU ELECTRONICS,Purchase of 18% Items,SKY SEMI WM SD 72R,"6,890.00",SKYZEN
129,11-04-2019,PV-V 4,ANDHRA,RAGHU ELECTRONICS,Purchase of 18% Items,SKY SEMI WM SD 75P,"7,890.00",SKYZEN
130,12-04-2019,PV-ONG 42,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18AL,"9,338.52",SKYZEN
131,12-04-2019,PV-ONG 42,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.48,SKYZEN
132,13-04-2019,PV-H 6,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Hippo Chill 4500,"184,000.00",SKYZEN
133,13-04-2019,PV-H 6,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Super 5000,"67,500.00",SKYZEN
134,13-04-2019,PV-H 6,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Super Cool 16AL,"45,000.00",SKYZEN
135,13-04-2019,PV-H 6,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Thunder Cool 18AL,"138,000.00",SKYZEN
136,13-04-2019,PV-H 6,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Vibrant 18AL /HPL,"15,000.00",SKYZEN
137,13-04-2019,PV-H 6,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Vibrant 18AL/HPL -H,"20,000.00",SKYZEN
138,13-04-2019,PV-ONG 43,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Hippo Chill 4500,"50,336.44",SKYZEN
139,13-04-2019,PV-ONG 43,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"52,554.84",SKYZEN
140,13-04-2019,PV-ONG 43,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.28,SKYZEN
141,13-04-2019,PV-ONG 44,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"28,320.00",CVCRM
142,13-04-2019,PV-ONG 44,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,TYPHOON AIR COOLER,"88,736.00",CVCRM
143,13-04-2019,PV-ONG 44,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY MINI CUTE,"10,931.52",SKYZEN
144,13-04-2019,PV-ONG 44,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Mini Cute Trolley,"2,115.74",SKYZEN
145,13-04-2019,PV-ONG 44,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.26,SKYZEN
146,13-04-2019,PV-ONG 45,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"34,692.00",CVCRM
147,13-04-2019,PV-ONG 46,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"59,472.00",CVCRM
148,13-04-2019,PV-ONG 46,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"43,365.00",CVCRM
149,13-04-2019,PV-ONG 47,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"34,692.00",CVCRM
150,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,TYPHOON AIR COOLER HONEY COMB,"40,120.00",CVCRM
151,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18AL,"46,692.60",SKYZEN
152,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18ALH,"15,356.52",SKYZEN
153,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"50,799.00",SKYZEN
154,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"7,080.00",CVCRM
155,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"37,583.00",CVCRM
156,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,TYPHOON AIR WHITE COOLER,"38,940.00",CVCRM
157,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"37,760.00",CVCRM
158,13-04-2019,PV-ONG 48,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.12,SKYZEN
159,13-04-2019,PV-ONG 49,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 12% Items,CORRUGATED BOXES,586.88,SKYZEN
160,13-04-2019,PV-ONG 49,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 12% Items,PUMP MOTOR,739.20,CVCRM
161,13-04-2019,PV-ONG 49,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 12% Items,CORRUGATED BOXES,705.60,SKYZEN
162,13-04-2019,PV-ONG 49,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.32,SKYZEN
163,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,CD 120 COMMON MOTOR,"9,044.70",SERVICE
164,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SWING MOTOR,613.60,CVCRM
165,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY DRAIN PLUG,188.80,SERVICE
166,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STRETCH FILM-1200MM,"1,899.16",SKYZEN
167,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,HONEY COMB BLUE SMART,"2,940.56",SERVICE
168,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,HONEY COMB BLUE VIBRANT,"1,309.80",SERVICE
169,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,HONEY COMB GREY CUTE,106.20,SKYZEN
170,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,ROTARY SWITCH FUNCTION ERS 14M,382.32,SKYZEN
171,13-04-2019,PV-ONG 50,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.14,SKYZEN
172,13-04-2019,PV-ONG 51,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"7,552.00",CVCRM
173,13-04-2019,PV-ONG 51,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"24,573.50",CVCRM
174,13-04-2019,PV-ONG 51,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.50,SKYZEN
175,13-04-2019,PV-ONG 52,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"34,692.00",CVCRM
176,15-04-2019,PV-H 7,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M24D,"1,534,000.00",SKYZEN
